Transportation,0.16666666666666666,2016-03-21 13:00:00,2016-03-21 13:10:00
Transportation,0.16666666666666666,2016-03-21 12:00:00,2016-03-21 12:10:00
Class,0.8333333333333334,2016-03-21 01:10:00,2016-03-21 02:00:00
Transportation,0.16666666666666666,2016-03-21 02:00:00,2016-03-21 02:10:00
Class,1.25,2016-03-22 09:35:00,2016-03-22 10:50:00
Transportation,0.16666666666666666,2016-03-22 10:50:00,2016-03-22 11:00:00
Transportation,0.16666666666666666,2016-03-22 09:25:00,2016-03-22 09:35:00
Class,1.25,2016-03-22 02:35:00,2016-03-22 03:50:00
Transportation,0.16666666666666666,2016-03-22 03:50:00,2016-03-22 04:00:00
Class,0.8333333333333334,2016-03-23 12:10:00,2016-03-23 13:00:00
Transportation,0.16666666666666666,2016-03-23 13:00:00,2016-03-23 13:10:00
Transportation,0.16666666666666666,2016-03-23 12:00:00,2016-03-23 12:10:00
Class,0.8333333333333334,2016-03-23 01:10:00,2016-03-23 02:00:00
Transportation,0.16666666666666666,2016-03-23 02:00:00,2016-03-23 02:10:00
Class,1.25,2016-03-24 09:35:00,2016-03-24 10:50:00
Transportation,0.16666666666666666,2016-03-24 10:50:00,2016-03-24 11:00:00
Transportation,0.16666666666666666,2016-03-24 09:25:00,2016-03-24 09:35:00
Class,1.25,2016-03-24 02:35:00,2016-03-24 03:50:00
Transportation,0.16666666666666666,2016-03-24 03:50:00,2016-03-24 04:00:00
Class,0.8333333333333334,2016-03-25 12:10:00,2016-03-25 13:00:00
Transportation,0.16666666666666666,2016-03-25 13:00:00,2016-03-25 13:10:00
Transportation,0.16666666666666666,2016-03-25 12:00:00,2016-03-25 12:10:00
Class,0.8333333333333334,2016-03-25 01:10:00,2016-03-25 02:00:00
Transportation,0.16666666666666666,2016-03-25 02:00:00,2016-03-25 02:10:00
Class,0.8333333333333334,2016-03-28 12:10:00,2016-03-28 13:00:00
Transportation,0.16666666666666666,2016-03-28 13:00:00,2016-03-28 13:10:00
Transportation,0.16666666666666666,2016-03-28 12:00:00,2016-03-28 12:10:00
Class,0.8333333333333334,2016-03-28 01:10:00,2016-03-28 02:00:00
Transportation,0.16666666666666666,2016-03-28 02:00:00,2016-03-28 02:10:00
